bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1934188,2160,HB1,1,Introduced,2025-01-22,"General Appropriations Bill.","General Appropriations Bill.",0,,2025-01-22,Filed,https://legiscan.com/TX/bill/HB1/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB1
1898804,2160,HB20,1,Introduced,2024-12-23,"Relating to establishing the Applied Sciences Pathway program.","Relating to establishing the Applied Sciences Pathway program.",0,,2024-12-23,Filed,https://legiscan.com/TX/bill/HB20/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB20
1915953,2160,HB21,1,Introduced,2025-01-13,"Relating to housing finance corporations; authorizing a fee.","Relating to housing finance corporations; authorizing a fee.",0,,2025-01-13,Filed,https://legiscan.com/TX/bill/HB21/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB21
1890560,2160,HB151,1,Introduced,2024-11-12,"Relating to honesty in state taxation.","Relating to honesty in state taxation.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB151/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB151
1891489,2160,HB152,1,Introduced,2024-11-12,"Relating to the provision of funding under the public school finance system on the basis of property values that take into account optional homestead exemptions.","Relating to the provision of funding under the public school finance system on the basis of property values that take into account optional homestead exemptions.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB152/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB152
1891085,2160,HB153,1,Introduced,2024-11-12,"Relating to the eligibility of service members and veterans to participate in a veterans treatment court program.","Relating to the eligibility of service members and veterans to participate in a veterans treatment court program.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB153/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB153
1890274,2160,HB154,1,Introduced,2024-11-12,"Relating to Medicaid coverage and reimbursement for certain inpatient mental health services.","Relating to Medicaid coverage and reimbursement for certain inpatient mental health services.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB154/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB154
1891737,2160,HB155,1,Introduced,2024-11-12,"Relating to the confidentiality of certain autopsy records.","Relating to the confidentiality of certain autopsy records.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB155/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB155
1890403,2160,HB156,1,Introduced,2024-11-12,"Relating to a study by the Texas Commission on Environmental Quality regarding the protection of certain water facilities from catastrophes.","Relating to a study by the Texas Commission on Environmental Quality regarding the protection of certain water facilities from catastrophes.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB156/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB156
1891235,2160,HB157,1,Introduced,2024-11-12,"Relating to the production by the Texas Commission on Environmental Quality of an annual report on public drinking water supply systems.","Relating to the production by the Texas Commission on Environmental Quality of an annual report on public drinking water supply systems.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB157/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB157
1891230,2160,HB158,1,Introduced,2024-11-12,"Relating to a study on the use of surplus government property to provide housing to veterans and low-income families.","Relating to a study on the use of surplus government property to provide housing to veterans and low-income families.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB158/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB158
1890518,2160,HB159,1,Introduced,2024-11-12,"Relating to certain payment recovery and recoupment efforts under Medicaid and the child health plan program.","Relating to certain payment recovery and recoupment efforts under Medicaid and the child health plan program.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB159/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB159
1890691,2160,HB160,1,Introduced,2024-11-12,"Relating to the enrollment, including resident status and tuition rates, of certain persons, including persons not authorized to be present in the United States, in public institutions of higher education.","Relating to the enrollment, including resident status and tuition rates, of certain persons, including persons not authorized to be present in the United States, in public institutions of higher education.",0,,2024-11-12,Filed,https://legiscan.com/TX/bill/HB160/2025,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB160
