bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1898804,3035709,text,27993,text/html,Introduced,https://legiscan.com/TX/text/HB20/id/3035709,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00020I.htm
1890560,3026358,text,22792,text/html,Introduced,https://legiscan.com/TX/text/HB151/id/3026358,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00151I.htm
1891489,3027020,text,55792,text/html,Introduced,https://legiscan.com/TX/text/HB152/id/3027020,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00152I.htm
1891085,3026720,text,10773,text/html,Introduced,https://legiscan.com/TX/text/HB153/id/3026720,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00153I.htm
1890274,3026176,text,9871,text/html,Introduced,https://legiscan.com/TX/text/HB154/id/3026176,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00154I.htm
1891737,3027202,text,14211,text/html,Introduced,https://legiscan.com/TX/text/HB155/id/3027202,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00155I.htm
1890403,3026255,text,9224,text/html,Introduced,https://legiscan.com/TX/text/HB156/id/3026255,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00156I.htm
1891235,3026826,text,11137,text/html,Introduced,https://legiscan.com/TX/text/HB157/id/3026826,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00157I.htm
1891230,3026823,text,14365,text/html,Introduced,https://legiscan.com/TX/text/HB158/id/3026823,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00158I.htm
1890518,3026333,text,14994,text/html,Introduced,https://legiscan.com/TX/text/HB159/id/3026333,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00159I.htm
1890691,3026441,text,49870,text/html,Introduced,https://legiscan.com/TX/text/HB160/id/3026441,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00160I.htm
1891113,3026739,text,9534,text/html,Introduced,https://legiscan.com/TX/text/HB161/id/3026739,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00161I.htm
1890391,3026248,text,19167,text/html,Introduced,https://legiscan.com/TX/text/HB162/id/3026248,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00162I.htm
1891382,3026939,text,5927,text/html,Introduced,https://legiscan.com/TX/text/HB163/id/3026939,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00163I.htm
1890984,3026645,text,69442,text/html,Introduced,https://legiscan.com/TX/text/HB164/id/3026645,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00164I.htm
1890781,3026498,text,20577,text/html,Introduced,https://legiscan.com/TX/text/HB165/id/3026498,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00165I.htm
1891550,3027065,text,11837,text/html,Introduced,https://legiscan.com/TX/text/HB166/id/3027065,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00166I.htm
1891419,3026967,text,113353,text/html,Introduced,https://legiscan.com/TX/text/HB167/id/3026967,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00167I.htm
1891289,3026867,text,16998,text/html,Introduced,https://legiscan.com/TX/text/HB168/id/3026867,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00168I.htm
1891414,3026963,text,7200,text/html,Introduced,https://legiscan.com/TX/text/HB169/id/3026963,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00169I.htm
1891153,3026767,text,8206,text/html,Introduced,https://legiscan.com/TX/text/HB170/id/3026767,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00170I.htm
1891692,3027166,text,27955,text/html,Introduced,https://legiscan.com/TX/text/HB171/id/3027166,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00171I.htm
1890284,3026183,text,8260,text/html,Introduced,https://legiscan.com/TX/text/HB172/id/3026183,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00172I.htm
1891002,3026659,text,7736,text/html,Introduced,https://legiscan.com/TX/text/HB173/id/3026659,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00173I.htm
1891455,3026996,text,26174,text/html,Introduced,https://legiscan.com/TX/text/HB174/id/3026996,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00174I.htm
1891011,3026664,text,7150,text/html,Introduced,https://legiscan.com/TX/text/HB175/id/3026664,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00175I.htm
1891138,3026758,text,14584,text/html,Introduced,https://legiscan.com/TX/text/HB176/id/3026758,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00176I.htm
1890977,3026641,text,18305,text/html,Introduced,https://legiscan.com/TX/text/HB177/id/3026641,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00177I.htm
1891672,3027152,text,23829,text/html,Introduced,https://legiscan.com/TX/text/HB178/id/3027152,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00178I.htm
1890830,3026534,text,22306,text/html,Introduced,https://legiscan.com/TX/text/HB179/id/3026534,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00179I.htm
1890761,3026483,text,9930,text/html,Introduced,https://legiscan.com/TX/text/HB180/id/3026483,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00180I.htm
1891283,3026863,text,12706,text/html,Introduced,https://legiscan.com/TX/text/HB181/id/3026863,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00181I.htm
1890551,3026352,text,22050,text/html,Introduced,https://legiscan.com/TX/text/HB182/id/3026352,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00182I.htm
1891287,3026865,text,34622,text/html,Introduced,https://legiscan.com/TX/text/HB183/id/3026865,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00183I.htm
1890871,3026566,text,28901,text/html,Introduced,https://legiscan.com/TX/text/HB184/id/3026566,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00184I.htm
1891657,3027144,text,357449,text/html,Introduced,https://legiscan.com/TX/text/HB185/id/3027144,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00185I.htm
1890349,3026218,text,18699,text/html,Introduced,https://legiscan.com/TX/text/HB186/id/3026218,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00186I.htm
1891510,3027036,text,21685,text/html,Introduced,https://legiscan.com/TX/text/HB187/id/3027036,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00187I.htm
1891751,3027212,text,38744,text/html,Introduced,https://legiscan.com/TX/text/HB188/id/3027212,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00188I.htm
1891330,3026900,text,127048,text/html,Introduced,https://legiscan.com/TX/text/HB189/id/3026900,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00189I.htm
1890844,3026546,text,14012,text/html,Introduced,https://legiscan.com/TX/text/HB190/id/3026546,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00190I.htm
1890617,3026392,text,25284,text/html,Introduced,https://legiscan.com/TX/text/HB191/id/3026392,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00191I.htm
1890976,3026640,text,147769,text/html,Introduced,https://legiscan.com/TX/text/HB192/id/3026640,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00192I.htm
1890842,3026544,text,4739,text/html,Introduced,https://legiscan.com/TX/text/HB193/id/3026544,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00193I.htm
1891285,3026864,text,91340,text/html,Introduced,https://legiscan.com/TX/text/HB194/id/3026864,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00194I.htm
1891342,3026908,text,26965,text/html,Introduced,https://legiscan.com/TX/text/HB195/id/3026908,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00195I.htm
1890627,3026399,text,14519,text/html,Introduced,https://legiscan.com/TX/text/HB196/id/3026399,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00196I.htm
1891151,3026765,text,17313,text/html,Introduced,https://legiscan.com/TX/text/HB197/id/3026765,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00197I.htm
1890728,3026466,text,7583,text/html,Introduced,https://legiscan.com/TX/text/HB198/id/3026466,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00198I.htm
1890254,3026164,text,14882,text/html,Introduced,https://legiscan.com/TX/text/HB199/id/3026164,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00199I.htm
1891642,3027132,text,26162,text/html,Introduced,https://legiscan.com/TX/text/HB201/id/3027132,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB00201I.htm
