bill_id,people_id,position
1890233,5850,2
1890233,5875,7
1890233,5921,10
1890233,5933,11
1890233,5949,12
1890233,6029,16
1890233,6032,17
1890233,11013,15
1890233,15077,5
1890233,16267,3
1890233,16834,4
1890233,17365,1
1890233,19686,9
1890233,19730,14
1890233,20015,13
1890233,21679,8
1890233,25224,6
1890234,23179,1
1890235,17576,1
1890236,21335,1
1890237,5997,1
1890238,22376,1
1890239,5920,1
1890240,24086,1
1890241,6029,1
1890242,17631,1
1890243,20248,1
1890244,20173,1
1890245,19959,1
1890246,20173,1
1890247,11013,1
1890248,17365,1
1890248,20015,2
1890249,18680,1
1890250,24089,1
1890251,22376,1
1890252,18029,1
1890253,17631,1
1890254,24078,1
1890255,5903,1
1890256,17631,1
1890257,17365,1
1890257,20015,2
1890258,22955,1
1890259,5903,1
1890260,20230,1
1890261,22437,1
1890262,5949,1
1890263,24078,1
1890264,11598,1
1890265,14046,1
1890266,5949,1
1890267,20248,1
1890268,19319,1
1890269,17631,1
1890270,19319,1
1890271,11598,1
1890272,24089,1
1890273,16847,1
1890274,5971,1
1890275,14568,1
1890276,5903,1
1890277,24089,1
1890278,22376,1
1890279,24075,1
1890280,16847,1
1890281,24079,1
1890282,5971,1
1890283,22433,1
1890284,20246,1
1890285,18674,1
1890286,17576,1
1890287,22376,1
1890288,15409,1
1890289,24077,1
1890290,19319,1
1890291,25225,1
1890292,21335,1
1890293,24089,1
1890294,24086,1
1890295,5903,1
1890296,22431,1
1890297,6029,1
1890298,24084,1
1890299,24077,1
1890300,18029,1
1890301,20235,1
1890302,24079,1
1890303,18029,1
1890304,20243,1
1890305,11013,1
1890306,23342,1
1890307,22955,1
1890308,20248,1
1890309,19959,1
1890310,20228,1
1890311,19686,1
1890312,21335,1
1890313,20232,1
1890314,15409,1
1890315,20232,1
1890316,15409,1
1890317,14990,1
1890318,20173,1
1890319,19319,1
1890320,18029,1
1890321,5971,1
1890322,6032,1
1890323,11599,1
1890324,20235,1
1890325,17365,1
1890326,14046,1
1890327,5949,1
1890328,6032,1
1890329,24089,1
1890330,5875,4
1890330,5906,7
1890330,5929,8
1890330,5962,10
1890330,15077,3
1890330,16267,2
1890330,17365,6
1890330,19686,5
1890330,19730,1
1890330,20015,9
1890331,5903,1
1890332,18674,1
1890333,17365,1
1890334,24089,1
1890335,22955,1
1890336,14046,1
1890337,21336,1
1890338,20173,1
1890339,21335,1
1890341,11599,1
1890342,20230,1
1890343,14783,1
1890344,21336,1
1890345,5933,1
1890346,5971,1
1890347,23179,1
1890348,21683,1
1890349,20173,1
1890350,18029,1
1890351,21636,1
1890352,24080,1
1890353,18029,1
1890354,21683,1
1890355,24089,1
1890356,23145,1
1890357,15686,1
1890358,5949,1
1890359,22896,1
1890360,14783,1
1890361,22896,1
1890362,19686,1
1890363,15686,1
1890364,20228,1
1890365,24075,1
1890366,6032,1
1890367,18674,1
1890368,14783,1
1890369,22376,1
1890370,20230,1
1890371,17631,1
1890372,22955,1
1890373,14568,1
1890374,6029,1
1890375,22376,1
1890376,14568,1
1890377,22955,1
1890378,17365,1
1890379,23120,1
1890380,20241,1
1890381,14046,1
1890382,22955,1
1890383,17365,1
1890384,15409,1
1890385,14990,1
1890386,20235,1
1890387,17631,1
1890388,15409,1
1890389,11013,1
1890390,15409,1
1890391,19319,1
1890392,5933,1
1890393,14046,1
1890394,5954,1
1890395,20240,1
1890396,17365,1
1890397,19959,1
1890398,5874,1
1890399,5903,1
1890400,22955,1
1890401,20248,1
1890402,15409,1
1890403,5971,1
1890404,25225,1
1890405,14783,1
1890406,6029,1
1890407,23184,1
1890408,23384,1
1890409,24094,1
1890410,16846,1
1890411,14046,1
1890412,20228,1
1890413,5921,1
1890414,23179,1
1890415,5971,1
1890416,5929,1
1890417,20232,1
1890418,5850,1
1890418,5904,5
1890418,5949,7
1890418,11599,8
1890418,16834,2
1890418,20805,6
1890418,21679,4
1890418,25224,3
1890419,22431,1
1890420,24089,1
1890421,19730,1
1890421,20805,2
1890422,11599,1
1890423,22433,1
1890424,20234,1
1890425,14568,1
1890426,20230,1
1890427,5875,1
1890428,5954,1
1890429,16526,1
1890430,20230,1
1890431,17365,1
1890432,14783,1
1890433,22896,1
1890434,17365,1
1890435,5954,1
1890436,20234,1
1890437,20235,1
1890438,23145,1
1890439,15409,1
1890440,22896,1
1890441,5903,1
1890442,20230,1
1890443,23120,1
1890444,22376,1
1890445,24089,1
1890446,17631,1
1890447,17365,1
1890448,5933,1
1890450,11598,1
1890451,5996,1
1890452,23190,1
1890453,14568,1
1890454,6029,1
1890455,18029,1
1890456,22433,1
1890457,24079,1
1890458,5997,1
1890459,20230,1
1890460,20228,1
1890461,21683,1
1890462,23342,1
